# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-s" "1" "-F" "GTF" "-T" "4" "-a" "genome/reference.gff" "-o" "data_comptage/counts.txt" "data_bam/SRR10379721.bam" "data_bam/SRR10379722.bam" "data_bam/SRR10379723.bam" "data_bam/SRR10379724.bam" "data_bam/SRR10379725.bam" "data_bam/SRR10379726.bam" 
Geneid	Chr	Start	End	Strand	Length	data_bam/SRR10379721.bam	data_bam/SRR10379722.bam	data_bam/SRR10379723.bam	data_bam/SRR10379724.bam	data_bam/SRR10379725.bam	data_bam/SRR10379726.bam
gene-SAOUHSC_00835	CP000253.1	809502	809858	+	357	475	365	221	3154	5464	129
gene-SAOUHSC_00836	CP000253.1	810016	810396	+	381	4235	3531	2595	11954	16605	1044
gene-SAOUHSC_00837	CP000253.1	810460	810573	+	114	48	52	52	74	150	7
gene-SAOUHSC_00838	CP000253.1	810575	811453	+	879	1437	1479	1040	1151	1139	112
gene-SAOUHSC_00839	CP000253.1	811872	811985	+	114	191	177	116	144	141	54
gene-SAOUHSC_00840	CP000253.1	812195	812581	+	387	1023	1052	740	1573	1379	219
gene-SAOUHSC_00841	CP000253.1	812574	812870	+	297	544	608	501	1064	1210	157
gene-SAOUHSC_00842	CP000253.1	813120	814145	+	1026	13367	10425	12980	30766	54230	11151
gene-SAOUHSC_00843	CP000253.1	814138	814833	+	696	7123	5613	6536	10867	20439	3873
gene-SAOUHSC_00844	CP000253.1	814851	815672	+	822	15440	11068	15725	16653	37120	3095
gene-SAOUHSC_00845	CP000253.1	816026	816220	+	195	69303	54936	36963	122792	129953	5856
gene-SAOUHSC_00846	CP000253.1	816453	817304	-	852	975	799	976	469	360	81
gene-SAOUHSC_00847	CP000253.1	817632	818393	+	762	55019	57021	42660	26726	26394	6105
gene-SAOUHSC_00848	CP000253.1	818491	819798	+	1308	105757	98837	79611	44182	37128	8512
gene-SAOUHSC_00849	CP000253.1	819904	821154	+	1251	117395	109750	89905	45451	47200	19332
gene-SAOUHSC_00850	CP000253.1	821144	821608	+	465	51876	50003	41103	18442	21083	7115
gene-SAOUHSC_00851	CP000253.1	821759	823156	+	1398	129571	113051	97849	49849	61808	9542
gene-SAOUHSC_00852	CP000253.1	823343	823480	+	138	47	46	46	14	19	5
gene-SAOUHSC_00853	CP000253.1	823486	823800	-	315	81	52	79	295	180	17
gene-SAOUHSC_00854	CP000253.1	824165	825205	+	1041	1785	1628	1163	6031	6955	1405
gene-SAOUHSC_00855	CP000253.1	825219	826286	+	1068	1121	1033	705	3035	4028	2354
gene-SAOUHSC_00857	CP000253.1	826353	826451	+	99	41	50	39	46	81	47
gene-SAOUHSC_00858	CP000253.1	826499	827347	+	849	929	771	521	1442	1716	127
gene-SAOUHSC_00859	CP000253.1	827360	828187	+	828	627	452	390	954	1101	232
gene-SAOUHSC_00860	CP000253.1	828214	829533	+	1320	1929	1543	1100	2648	3263	373
gene-SAOUHSC_00861	CP000253.1	829617	830534	+	918	10282	9690	7087	17577	18957	4083
gene-SAOUHSC_00862	CP000253.1	830664	831047	+	384	718	643	465	1353	1369	140
gene-SAOUHSC_00863	CP000253.1	831126	831392	-	267	909	690	584	878	1010	46
gene-SAOUHSC_00864	CP000253.1	831490	831924	+	435	309	297	213	899	1070	46
gene-SAOUHSC_00865	CP000253.1	831924	832703	+	780	937	725	645	1982	2031	337
gene-SAOUHSC_00866	CP000253.1	832811	833695	+	885	2075	1659	1355	2887	3460	644
gene-SAOUHSC_00867	CP000253.1	833949	834059	+	111	1	1	1	1	3	1
gene-SAOUHSC_00868	CP000253.1	834056	834259	+	204	343	346	425	2258	8203	189
gene-SAOUHSC_00869	CP000253.1	834275	835732	+	1458	12440	11023	8816	35591	53931	3368
gene-SAOUHSC_00870	CP000253.1	835729	836943	+	1215	7163	5733	5676	14785	14788	649
gene-SAOUHSC_00871	CP000253.1	836961	837197	+	237	1686	1315	1668	3087	5520	179
gene-SAOUHSC_00872	CP000253.1	837194	838369	+	1176	12352	9545	9021	18378	19876	1037
gene-SAOUHSC_00873	CP000253.1	838632	838874	-	243	7028	4408	4478	6250	5377	987
gene-SAOUHSC_00874	CP000253.1	838975	839298	+	324	1106	567	873	447	451	51
gene-SAOUHSC_00875	CP000253.1	839357	840421	-	1065	10926	8514	7054	8832	8234	3321
gene-SAOUHSC_00876	CP000253.1	840738	840974	+	237	1232	883	590	1931	3002	462
gene-SAOUHSC_00877	CP000253.1	840987	841346	+	360	1797	1437	885	2956	3101	802
gene-SAOUHSC_00878	CP000253.1	841800	843008	+	1209	17228	13293	10601	25267	27151	6331
gene-SAOUHSC_00879	CP000253.1	843139	844614	+	1476	1869	1401	937	2505	3566	476
gene-SAOUHSC_00880	CP000253.1	845025	846341	+	1317	7803	6764	5228	9837	6260	1061
gene-SAOUHSC_00881	CP000253.1	846360	846734	+	375	4822	4074	3172	4564	4749	765
gene-SAOUHSC_00882	CP000253.1	846790	847944	-	1155	8204	4266	3453	258	408	63
gene-SAOUHSC_00883	CP000253.1	848193	848549	-	357	2481	1624	1692	3706	4511	456
gene-SAOUHSC_00884	CP000253.1	848527	848820	-	294	809	680	523	1432	1437	742
gene-SAOUHSC_00885	CP000253.1	848820	849299	-	480	2959	2493	2373	5452	9272	809
gene-SAOUHSC_00886	CP000253.1	849301	850797	-	1497	7315	6363	5080	13582	16136	2385
gene-SAOUHSC_00887	CP000253.1	850790	851119	-	330	1746	1526	1174	3427	5209	505
gene-SAOUHSC_00888	CP000253.1	851131	851559	-	429	1716	1423	1196	3747	4458	499
gene-SAOUHSC_00889	CP000253.1	851552	853957	-	2406	8186	7238	5184	21657	28324	4064
gene-SAOUHSC_00890	CP000253.1	854088	854471	-	384	117	96	70	418	516	49
gene-SAOUHSC_00891	CP000253.1	854535	855128	+	594	4509	3277	2587	5072	5236	2586
gene-SAOUHSC_00892	CP000253.1	855577	855921	+	345	5837	5358	3659	6979	8767	2170
gene-SAOUHSC_00893	CP000253.1	856283	857410	+	1128	1280	1056	596	3179	5501	1745
gene-SAOUHSC_00894	CP000253.1	857718	858908	+	1191	5237	5726	2865	15189	19464	2737
gene-SAOUHSC_00895	CP000253.1	859017	860261	+	1245	17252	17025	10719	24147	31412	7490
gene-SAOUHSC_00896	CP000253.1	860487	860678	+	192	1976	1786	1045	835	843	904
gene-SAOUHSC_00897	CP000253.1	860764	861693	-	930	975	723	901	630	939	105
gene-SAOUHSC_00898	CP000253.1	861935	863314	-	1380	32933	29733	43591	1137	7383	569
gene-SAOUHSC_00899	CP000253.1	863304	864509	-	1206	16619	14923	21643	941	7070	1307
gene-SAOUHSC_00900	CP000253.1	864860	866191	+	1332	9459	6792	5227	21542	21533	3186
gene-SAOUHSC_00901	CP000253.1	866516	867091	+	576	1682	1307	1223	4024	7005	391
gene-SAOUHSC_00902	CP000253.1	867096	867620	+	525	2230	2024	1714	3707	5678	1123
gene-SAOUHSC_00903	CP000253.1	867744	868211	+	468	2699	2348	1676	2748	3565	268
gene-SAOUHSC_00904	CP000253.1	868371	871847	+	3477	5415	4760	3930	5849	7296	877
gene-SAOUHSC_00905	CP000253.1	871848	875501	+	3654	12559	10210	9411	10734	12813	2373
gene-SAOUHSC_00906	CP000253.1	875667	876569	+	903	9382	7571	5716	20046	25542	7518
gene-SAOUHSC_00907	CP000253.1	876898	877287	+	390	1429	960	928	1394	1498	488
gene-SAOUHSC_00908	CP000253.1	877458	878774	-	1317	5996	5327	3346	11728	13179	4774
gene-SAOUHSC_00909	CP000253.1	878826	879650	-	825	2235	1941	1275	3673	4002	700
gene-SAOUHSC_00910	CP000253.1	879806	880072	+	267	2881	3081	1909	5815	7442	914
gene-SAOUHSC_00911	CP000253.1	880619	882433	+	1815	2603	1503	1686	533	524	37
gene-SAOUHSC_00912	CP000253.1	882636	885245	+	2610	370625	361293	242608	59109	18972	1753
gene-SAOUHSC_00913	CP000253.1	885304	886173	-	870	71	37	46	51	54	1
gene-SAOUHSC_00914	CP000253.1	886283	887428	+	1146	601	876	594	48	36	3
gene-SAOUHSC_00915	CP000253.1	887412	888053	+	642	307	447	385	72	82	7
gene-SAOUHSC_00916	CP000253.1	888046	889164	+	1119	201	205	191	93	73	10
gene-SAOUHSC_00917	CP000253.1	889148	889663	+	516	193	263	159	140	178	20
gene-SAOUHSC_00918	CP000253.1	889974	890408	+	435	2042	1617	1723	675	633	469
gene-SAOUHSC_00919	CP000253.1	890665	890850	-	186	1612	1275	984	3807	2753	122
gene-SAOUHSC_00920	CP000253.1	891145	892086	+	942	1942	1590	1527	4063	7666	3225
gene-SAOUHSC_00921	CP000253.1	892098	893342	+	1245	8377	6759	5967	17764	27709	16668
gene-SAOUHSC_00922	CP000253.1	893397	893768	-	372	63	25	27	230	168	6
gene-SAOUHSC_00923	CP000253.1	894011	894937	+	927	484	392	359	5198	4805	463
gene-SAOUHSC_00924	CP000253.1	894937	896007	+	1071	679	579	547	4829	5566	1098
gene-SAOUHSC_00925	CP000253.1	896024	897106	+	1083	1411	1317	1344	7921	11618	3094
gene-SAOUHSC_00926	CP000253.1	897096	898037	+	942	1697	1269	1679	8300	12485	3040
gene-SAOUHSC_00927	CP000253.1	898056	899711	+	1656	7138	4862	6327	22674	30735	6600
gene-SAOUHSC_00928	CP000253.1	899923	901638	+	1716	492	261	272	448	712	108
gene-SAOUHSC_00929	CP000253.1	901689	902675	+	987	147	99	87	155	253	19
gene-SAOUHSC_00930	CP000253.1	902678	903658	+	981	175	102	91	135	239	53
gene-SAOUHSC_00931	CP000253.1	903651	904613	+	963	189	86	125	151	238	20
gene-SAOUHSC_00932	CP000253.1	904625	905506	+	882	582	333	367	359	490	125
gene-SAOUHSC_00933	CP000253.1	905548	906537	-	990	3921	2652	3210	5072	6377	533
gene-SAOUHSC_00934	CP000253.1	906832	907227	+	396	377083	306557	283007	203508	252737	36561
gene-SAOUHSC_00935	CP000253.1	907598	908317	+	720	34136	29782	19188	31493	39578	3338
gene-SAOUHSC_00936	CP000253.1	908438	909424	+	987	222	194	202	52	73	6
gene-SAOUHSC_00937	CP000253.1	909472	911280	+	1809	1234	826	703	5900	8247	822
gene-SAOUHSC_00938	CP000253.1	911740	912546	-	807	3333	2488	2125	3529	4257	466
gene-SAOUHSC_00939	CP000253.1	912569	912886	-	318	1297	919	759	2193	2623	195
gene-SAOUHSC_00940	CP000253.1	913038	913631	-	594	462	335	226	1246	956	71
gene-SAOUHSC_00941	CP000253.1	913817	914164	+	348	1447	1187	977	2073	2985	121
gene-SAOUHSC_00942	CP000253.1	914181	914816	+	636	3882	3306	2516	4800	6804	964
gene-SAOUHSC_00943	CP000253.1	914833	915642	+	810	6744	5595	4377	7060	7929	1531
gene-SAOUHSC_00944	CP000253.1	915639	916493	+	855	2095	1612	1496	2322	3274	465
gene-SAOUHSC_00945	CP000253.1	916514	917899	+	1386	3429	3074	2637	3862	6256	1147
gene-SAOUHSC_00946	CP000253.1	917909	919753	+	1845	6004	4939	4622	7446	8784	1209
gene-SAOUHSC_00947	CP000253.1	920031	920801	+	771	11073	8648	7316	13875	13728	1611
gene-SAOUHSC_00948	CP000253.1	920996	922081	-	1086	3867	3146	2839	12009	11991	665
gene-SAOUHSC_00949	CP000253.1	922423	923991	+	1569	654	783	425	17230	19863	2313
gene-SAOUHSC_00950	CP000253.1	924133	924891	+	759	726	623	528	2318	2349	253
gene-SAOUHSC_00951	CP000253.1	925085	925594	+	510	9899	7019	6396	13970	15276	1082
gene-SAOUHSC_00952	CP000253.1	925707	926915	-	1209	6615	4360	4447	3350	2927	253
gene-SAOUHSC_00953	CP000253.1	926875	928050	-	1176	7190	5293	4812	5790	6702	607
gene-SAOUHSC_00954	CP000253.1	928483	929964	+	1482	4702	3888	3757	4790	6173	1662
gene-SAOUHSC_00955	CP000253.1	929948	930208	+	261	897	623	917	750	1431	198
gene-SAOUHSC_00956	CP000253.1	930208	931770	+	1563	10749	7888	9367	7628	9825	2195
gene-SAOUHSC_00957	CP000253.1	932072	932875	+	804	3644	3252	2324	8357	6944	4106
gene-SAOUHSC_00958	CP000253.1	933094	935418	+	2325	2376	1746	1797	2121	2991	262
gene-SAOUHSC_00959	CP000253.1	935435	936793	+	1359	7204	5292	5872	4573	5661	538
gene-SAOUHSC_00960	CP000253.1	936932	938443	+	1512	2495	1580	1673	4285	4747	720
gene-SAOUHSC_T00049	CP000253.1	938623	938711	-	89	274	213	108	163	11	302
gene-SAOUHSC_T0008	CP000253.1	938714	938788	-	75	295	236	281	107	45	74
gene-SAOUHSC_00961	CP000253.1	938930	939460	-	531	15703	9745	17179	524	539	52
gene-SAOUHSC_00962	CP000253.1	939709	939927	+	219	2803	2979	1616	40331	64021	13465
gene-SAOUHSC_00963	CP000253.1	940008	940994	-	987	1381	1002	839	1871	3313	218
gene-SAOUHSC_00964	CP000253.1	941193	941369	+	177	1768	1566	1229	2138	2344	78
gene-SAOUHSC_00965	CP000253.1	941384	941986	+	603	6112	4391	5006	7747	6051	680
gene-SAOUHSC_00966	CP000253.1	942257	942364	+	108	2138	1748	988	1986	616	1522
gene-SAOUHSC_00967	CP000253.1	942903	943004	+	102	2	0	2	2	9	1
gene-SAOUHSC_00968	CP000253.1	943330	945294	+	1965	290	193	234	882	917	119
gene-SAOUHSC_00969	CP000253.1	945297	945617	+	321	198	124	192	220	285	26
gene-SAOUHSC_00970	CP000253.1	945614	946255	+	642	533	342	380	379	295	49
gene-SAOUHSC_00971	CP000253.1	946343	946633	-	291	984	526	1001	1007	279	38
gene-SAOUHSC_00972	CP000253.1	946912	947199	+	288	110	77	79	380	361	21
gene-SAOUHSC_00973	CP000253.1	947205	947912	+	708	341	239	311	975	792	75
gene-SAOUHSC_00974	CP000253.1	947905	948687	+	783	2133	1370	1437	1488	1631	87
gene-SAOUHSC_00975	CP000253.1	948776	949132	-	357	746	509	482	4083	3533	98
gene-SAOUHSC_00976	CP000253.1	949716	950579	+	864	886	664	694	287	269	57
gene-SAOUHSC_00977	CP000253.1	950625	950756	-	132	498	487	276	2328	2825	210
gene-SAOUHSC_00978	CP000253.1	950820	951110	-	291	71	59	65	154	117	8
gene-SAOUHSC_00979	CP000253.1	951200	951751	+	552	279	185	127	620	673	66
gene-SAOUHSC_00980	CP000253.1	951802	952740	-	939	8172	5085	6792	3963	4363	478
gene-SAOUHSC_00981	CP000253.1	952891	952995	+	105	289	209	156	148	108	20
gene-SAOUHSC_00982	CP000253.1	953072	954283	+	1212	2579	1783	1578	1354	1493	125
gene-SAOUHSC_00983	CP000253.1	954270	955943	+	1674	7232	5403	3991	6647	8498	2101
gene-SAOUHSC_00984	CP000253.1	955930	956733	+	804	4862	3263	3042	3667	4207	657
gene-SAOUHSC_00985	CP000253.1	956726	957547	+	822	11983	9421	6861	11620	11436	3668
gene-SAOUHSC_00986	CP000253.1	957786	958115	-	330	2072	1078	1794	314	429	50
gene-SAOUHSC_00987	CP000253.1	958153	959334	-	1182	5672	3141	5300	943	1050	125
gene-SAOUHSC_00988	CP000253.1	959416	960426	-	1011	3915	2093	3802	428	497	176
gene-SAOUHSC_00989	CP000253.1	960954	962108	-	1155	2336	2175	1618	8508	13214	1411
gene-SAOUHSC_00991	CP000253.1	962304	963314	-	1011	622	533	548	1328	1174	73
gene-SAOUHSC_00992	CP000253.1	963467	963886	+	420	1622	1049	1437	292	255	16
gene-SAOUHSC_00993	CP000253.1	963913	964023	+	111	339	221	293	63	40	2
gene-SAOUHSC_00994	CP000253.1	964093	967863	-	3771	24665	23484	23450	61620	61987	18885
gene-SAOUHSC_00995	CP000253.1	968091	968525	-	435	361	303	268	628	798	184
gene-SAOUHSC_00996	CP000253.1	968680	969150	-	471	14123	8544	10016	7494	9153	573
gene-SAOUHSC_00997	CP000253.1	969198	970415	-	1218	26096	17240	19571	16049	23621	3255
gene-SAOUHSC_00998	CP000253.1	970866	972059	+	1194	12155	7908	11491	1944	1815	72
gene-SAOUHSC_00999	CP000253.1	972596	972874	-	279	12019	11135	7187	19355	14687	2400
gene-SAOUHSC_01000	CP000253.1	972883	973488	-	606	24769	23203	16675	39597	40120	10817
gene-SAOUHSC_01001	CP000253.1	973478	975466	-	1989	72887	71859	53772	131414	148729	56462
gene-SAOUHSC_01002	CP000253.1	975466	976566	-	1101	30341	31805	22905	71168	85386	18285
gene-SAOUHSC_01003	CP000253.1	976868	976990	+	123	56	15	53	28	37	3
gene-SAOUHSC_01005	CP000253.1	977138	977455	-	318	24247	20180	18075	9827	18062	759
gene-SAOUHSC_01007	CP000253.1	978261	979121	-	861	19719	14005	13806	11949	14943	1713
gene-SAOUHSC_01008	CP000253.1	979385	979804	+	420	1662	1872	1145	6978	7376	3187
gene-SAOUHSC_01009	CP000253.1	979791	980915	+	1125	4796	5480	3667	14276	23865	3863
gene-SAOUHSC_01010	CP000253.1	980919	981623	+	705	1438	1558	1087	4036	7304	1797
gene-SAOUHSC_01011	CP000253.1	981623	981886	+	264	1200	1130	881	2913	3561	459
gene-SAOUHSC_01012	CP000253.1	981888	982559	+	672	3494	3488	2667	7474	13383	2256
gene-SAOUHSC_01013	CP000253.1	982552	984741	+	2190	19703	17626	14658	41222	42481	14853
gene-SAOUHSC_01014	CP000253.1	984720	986204	+	1485	21154	17336	16211	40587	44981	8939
gene-SAOUHSC_01015	CP000253.1	986197	987225	+	1029	17738	15235	14623	32383	41188	12009
gene-SAOUHSC_01016	CP000253.1	987228	987794	+	567	11555	9610	9633	18917	29111	4551
gene-SAOUHSC_01017	CP000253.1	987809	989287	+	1479	34143	28674	27919	51092	75112	15891
gene-SAOUHSC_01018	CP000253.1	989309	990556	+	1248	50444	36784	40078	62567	70792	23300
gene-SAOUHSC_01019	CP000253.1	990821	991627	-	807	2467	1484	2325	955	1009	67
gene-SAOUHSC_01021	CP000253.1	991620	993020	-	1401	5900	4869	5270	3887	4210	907
gene-SAOUHSC_01022	CP000253.1	993035	993610	-	576	1516	1203	1334	2289	2472	480
gene-SAOUHSC_01023	CP000253.1	993974	994093	+	120	96	59	71	27	31	9
gene-SAOUHSC_01024	CP000253.1	994194	994328	-	135	1460	1348	742	5100	5015	98
gene-SAOUHSC_01025	CP000253.1	994480	995775	+	1296	16341	15317	13297	25782	31665	5299
gene-SAOUHSC_01026	CP000253.1	996200	997372	+	1173	1142	1016	830	2507	3955	513
gene-SAOUHSC_01027	CP000253.1	997426	997968	+	543	7795	7251	5003	20019	14663	5883
gene-SAOUHSC_01028	CP000253.1	998122	998388	+	267	10980	10816	6911	24345	19919	7243
gene-SAOUHSC_01029	CP000253.1	998391	1000109	+	1719	83810	84269	54082	149184	131534	32749
gene-SAOUHSC_01030	CP000253.1	1000346	1000579	-	234	536	302	340	455	304	11
gene-SAOUHSC_01031	CP000253.1	1000777	1002138	+	1362	10086	7460	6135	5191	5512	1085
gene-SAOUHSC_01032	CP000253.1	1002135	1003154	+	1020	7992	5845	4809	4316	5054	294
gene-SAOUHSC_01034	CP000253.1	1003287	1003949	+	663	6587	5608	3979	6106	8698	2579
gene-SAOUHSC_A00992	CP000253.1	1003967	1004122	+	156	1412	1398	895	1181	1295	399
gene-SAOUHSC_01035	CP000253.1	1004298	1005995	-	1698	24743	17652	13384	34011	30026	3137
gene-SAOUHSC_01036	CP000253.1	1005995	1006213	-	219	1810	1254	1176	2959	4473	260
gene-SAOUHSC_01037	CP000253.1	1006242	1006364	-	123	119	138	101	354	785	5
gene-SAOUHSC_01038	CP000253.1	1006694	1007245	-	552	2199	1409	1304	2075	2062	290
gene-SAOUHSC_01039	CP000253.1	1007610	1008236	+	627	3452	2158	2096	5620	6293	260
gene-SAOUHSC_01040	CP000253.1	1008407	1009519	+	1113	36550	33831	25329	33066	21649	7501
gene-SAOUHSC_01041	CP000253.1	1009523	1010500	+	978	28665	24579	19257	26377	15055	12838
gene-SAOUHSC_01042	CP000253.1	1010591	1011883	+	1293	58935	52990	39525	55739	34749	18769
gene-SAOUHSC_01043	CP000253.1	1011887	1013293	+	1407	81585	65026	52208	80881	36960	13099
gene-SAOUHSC_01044	CP000253.1	1013461	1013736	+	276	772	623	516	1000	1302	238
gene-SAOUHSC_01045	CP000253.1	1013880	1014419	+	540	1280	1423	1246	1267	2166	87
gene-SAOUHSC_01046	CP000253.1	1014432	1015526	+	1095	2386	2766	2319	1717	3023	129
gene-SAOUHSC_01047	CP000253.1	1015519	1016316	+	798	1107	1117	1128	617	1027	84
gene-SAOUHSC_01048	CP000253.1	1016322	1017131	+	810	2420	2361	2392	1246	1814	108
gene-SAOUHSC_01049	CP000253.1	1017131	1018204	+	1074	6584	6174	5590	4954	5880	4232
gene-SAOUHSC_01050	CP000253.1	1018278	1019297	+	1020	38266	28767	30254	32214	48036	6484
gene-SAOUHSC_01051	CP000253.1	1019580	1019999	+	420	1234	856	654	3629	5025	606
gene-SAOUHSC_01053	CP000253.1	1020081	1021433	-	1353	1004	559	748	496	600	51
gene-SAOUHSC_01054	CP000253.1	1021617	1022231	-	615	1124	696	445	1742	2060	241
gene-SAOUHSC_01055	CP000253.1	1022388	1023215	+	828	19591	14845	12638	8914	9204	3410
gene-SAOUHSC_01057	CP000253.1	1023313	1023600	+	288	155	125	96	148	111	4
gene-SAOUHSC_01058	CP000253.1	1023662	1025509	+	1848	20882	14685	17386	14282	11572	2387
gene-SAOUHSC_01060	CP000253.1	1025649	1025816	-	168	852	728	586	1085	1218	132
gene-SAOUHSC_01061	CP000253.1	1025818	1026300	-	483	1815	1268	1258	2458	2626	240
gene-SAOUHSC_01062	CP000253.1	1026441	1026716	+	276	2811	2278	1888	6670	4890	347
gene-SAOUHSC_01063	CP000253.1	1027030	1028256	+	1227	4660	3375	3253	6184	7480	862
gene-SAOUHSC_01064	CP000253.1	1028810	1032262	+	3453	18253	14450	11930	53757	51824	13019
gene-SAOUHSC_01065	CP000253.1	1032402	1033472	-	1071	5347	4053	3619	7385	8293	1924
gene-SAOUHSC_01066	CP000253.1	1033753	1034664	+	912	3648	4385	2503	9639	10722	1816
gene-SAOUHSC_01067	CP000253.1	1034689	1035150	+	462	2878	2783	2067	6523	8445	434
gene-SAOUHSC_01068	CP000253.1	1035362	1035565	+	204	70	56	88	230	452	34
gene-SAOUHSC_01069	CP000253.1	1035693	1036514	+	822	3475	2860	2275	5084	6232	670
gene-SAOUHSC_01070	CP000253.1	1036530	1036964	+	435	1895	1499	1232	2319	2571	401
gene-SAOUHSC_01071	CP000253.1	1037027	1037953	-	927	1426	1061	795	2307	3797	668
gene-SAOUHSC_01072	CP000253.1	1038192	1038446	+	255	491	396	265	987	998	27
gene-SAOUHSC_01073	CP000253.1	1038449	1038838	-	390	199	150	114	399	329	29
gene-SAOUHSC_01074	CP000253.1	1038980	1039450	+	471	1256	769	961	1059	1682	372
gene-SAOUHSC_01075	CP000253.1	1039452	1039934	+	483	2603	1550	2007	1838	2266	346
gene-SAOUHSC_01076	CP000253.1	1039996	1041135	-	1140	349	244	195	451	493	54
gene-SAOUHSC_01077	CP000253.1	1041262	1041819	+	558	48631	40229	44276	25225	24966	3105
gene-SAOUHSC_A01041	CP000253.1	1041731	1041955	-	225	29	15	9	11	12	0
gene-SAOUHSC_01078	CP000253.1	1041899	1042030	+	132	9348	6224	9074	5372	6633	784
gene-SAOUHSC_01079	CP000253.1	1042227	1044164	-	1938	1103	725	744	355	405	72
gene-SAOUHSC_01081	CP000253.1	1044368	1045420	-	1053	855	533	466	1561	2896	404
gene-SAOUHSC_01082	CP000253.1	1045629	1046312	+	684	194	165	119	324	381	35
gene-SAOUHSC_01084	CP000253.1	1046312	1047388	+	1077	390	256	259	342	500	16
gene-SAOUHSC_01085	CP000253.1	1047415	1048263	+	849	303	217	176	152	207	17
gene-SAOUHSC_01086	CP000253.1	1048276	1049052	+	777	103	73	69	68	115	10
gene-SAOUHSC_01087	CP000253.1	1048947	1049240	+	294	51	43	35	33	34	6
gene-SAOUHSC_01088	CP000253.1	1049302	1050036	+	735	139	81	98	76	100	13
gene-SAOUHSC_01089	CP000253.1	1050055	1050378	+	324	100	53	71	43	87	3
gene-SAOUHSC_01090	CP000253.1	1050415	1050522	+	108	6	2	1	1	0	0
gene-SAOUHSC_01091	CP000253.1	1050762	1051502	+	741	2298	1764	1625	4522	4789	682
gene-SAOUHSC_01092	CP000253.1	1051883	1052941	+	1059	878	820	589	1404	1591	420
gene-SAOUHSC_01093	CP000253.1	1052941	1055343	+	2403	5051	3646	3393	7919	10019	1603
gene-SAOUHSC_01095	CP000253.1	1055514	1056452	-	939	677	497	389	963	1055	264
gene-SAOUHSC_01096	CP000253.1	1056822	1057082	+	261	1467	1184	1069	1662	2042	199
gene-SAOUHSC_01097	CP000253.1	1057090	1057611	+	522	2540	1875	1644	2129	2084	84
gene-SAOUHSC_01098	CP000253.1	1057684	1059396	+	1713	5324	4235	3000	4236	3949	332
gene-SAOUHSC_01099	CP000253.1	1059406	1061754	+	2349	10005	8262	6447	8953	8835	1510
gene-SAOUHSC_01100	CP000253.1	1061927	1062241	+	315	9453	7647	4145	16061	13650	1384
gene-SAOUHSC_01101	CP000253.1	1062304	1062399	-	96	26	8	17	12	6	0
gene-SAOUHSC_01102	CP000253.1	1062634	1064346	+	1713	4720	4436	3085	6495	8127	1650
gene-SAOUHSC_01103	CP000253.1	1064670	1065284	+	615	8329	8490	5868	12802	12450	1381
gene-SAOUHSC_01104	CP000253.1	1065336	1067102	+	1767	52116	52416	37324	49930	57046	20094
gene-SAOUHSC_01105	CP000253.1	1067102	1067917	+	816	38636	36063	27136	30234	27498	5641
gene-SAOUHSC_01106	CP000253.1	1068153	1068953	+	801	4044	3694	2352	6414	7930	1500
gene-SAOUHSC_01107	CP000253.1	1068965	1069552	+	588	3038	2589	1813	4319	4859	524
gene-SAOUHSC_01108	CP000253.1	1069545	1070048	+	504	3443	3178	1947	4645	5716	286
gene-SAOUHSC_01109	CP000253.1	1070176	1070343	+	168	0	0	2	4	2	0
gene-SAOUHSC_01110	CP000253.1	1070537	1070866	+	330	14985	9873	7895	21228	8986	247
gene-SAOUHSC_01111	CP000253.1	1071183	1071275	-	93	1	0	3	2	1	0
gene-SAOUHSC_01112	CP000253.1	1071235	1071636	-	402	792	472	459	586	440	14
gene-SAOUHSC_01113	CP000253.1	1072308	1072814	+	507	1119	694	1165	524	536	40
gene-SAOUHSC_01114	CP000253.1	1073073	1073570	+	498	7271	5147	4285	9158	4834	462
gene-SAOUHSC_01115	CP000253.1	1073724	1074074	+	351	4948	3191	3027	5891	3376	142
gene-SAOUHSC_01118	CP000253.1	1074500	1074745	+	246	341	220	196	119	106	45
gene-SAOUHSC_A01079	CP000253.1	1074797	1074952	+	156	63	43	54	24	24	5
gene-SAOUHSC_01119	CP000253.1	1074896	1075081	-	186	779	443	619	1074	853	57
gene-SAOUHSC_A01081	CP000253.1	1075291	1075509	-	219	44	34	99	285	375	65
gene-SAOUHSC_01120	CP000253.1	1075703	1075936	-	234	969	751	708	1808	1757	116
gene-SAOUHSC_01121	CP000253.1	1076413	1077372	-	960	582144	377604	420344	33086	30566	2871
gene-SAOUHSC_01122	CP000253.1	1078045	1078191	+	147	5	5	5	1	0	0
gene-SAOUHSC_01123	CP000253.1	1078148	1078372	+	225	2139	1479	1840	637	333	8
gene-SAOUHSC_01124	CP000253.1	1078816	1079532	-	717	762	468	674	237	325	29
gene-SAOUHSC_01125	CP000253.1	1079640	1080365	-	726	470	290	347	168	213	18
gene-SAOUHSC_01127	CP000253.1	1080460	1081185	-	726	475	354	370	246	333	27
gene-SAOUHSC_01128	CP000253.1	1081623	1082624	+	1002	686	609	514	341	379	74
gene-SAOUHSC_01129	CP000253.1	1082647	1083579	+	933	1913	1400	1435	529	736	166
gene-SAOUHSC_01130	CP000253.1	1083817	1085307	+	1491	3485	2925	2803	2553	3879	1398
